UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
SC;FLORIANOPOLIS;374053;232313;0;3931;334;21652;25344;2;121;944;52540;11022;2134;3;9023;445;17;372;1;483;86;13286
PR;FLORIDA;1782;966;0;84;14;221;36;0;2;11;253;86;32;0;52;13;0;0;0;1;1;10
SP;FLORIDA PAULISTA;7041;4399;0;363;77;580;128;0;19;27;760;140;139;0;253;134;0;0;0;1;1;20
SP;FLORINEA;1574;946;0;65;11;140;39;1;5;7;271;13;10;0;49;14;0;0;0;0;1;2
AM;FONTE BOA;1707;26;0;22;0;59;7;0;1;1;1293;296;0;0;1;0;0;0;0;0;1;0
RS;FONTOURA XAVIER;6483;4002;0;258;122;613;197;0;0;27;979;30;62;0;41;118;0;5;0;9;0;20
MG;FORMIGA;49894;24183;0;1927;541;4395;1215;0;67;207;13380;1712;258;0;1053;617;0;3;0;13;28;295
RS;FORMIGUEIRO;4064;2275;0;210;28;458;65;0;3;4;770;43;25;0;116;49;0;2;0;6;0;10
GO;FORMOSA;77399;35391;0;3495;1041;7253;1681;3;434;218;13272;5988;789;0;6007;1491;18;6;1;8;27;276
MA;FORMOSA DA SERRA NEGRA;4402;416;0;58;3;538;54;0;1;9;2988;288;8;0;20;3;0;1;0;0;0;15
PR;FORMOSA DO OESTE;6443;3225;0;349;37;844;92;0;4;14;1333;298;30;0;143;36;0;1;0;0;1;36
BA;FORMOSA DO RIO PRETO;5577;1390;0;180;73;677;81;0;1;11;2071;764;36;0;106;148;1;0;0;0;4;34
SC;FORMOSA DO SUL;1908;984;0;76;35;229;29;0;0;9;389;54;16;0;30;51;0;0;0;0;0;6
GO;FORMOSO;2787;969;0;69;10;315;37;0;28;6;1063;173;8;0;94;9;0;0;0;0;0;6
MG;FORMOSO;1667;670;0;83;9;233;22;0;5;7;509;29;44;0;41;9;1;0;0;0;1;4
TO;FORMOSO DO ARAGUAIA;8188;2473;0;314;87;846;105;0;7;11;2903;1003;44;0;277;90;1;0;0;0;0;27
RS;FORQUETINHA;1727;826;0;69;11;161;49;0;3;9;434;66;10;0;47;6;0;4;0;16;0;16
CE;FORQUILHA;8040;1730;0;180;28;309;47;0;28;30;4562;943;52;0;47;47;0;0;0;0;8;29
SC;FORQUILHINHA;23727;12718;0;644;134;1630;547;0;33;36;5713;1083;45;0;723;163;3;7;0;19;2;227
CE;FORTALEZA;1169730;616862;0;22554;4470;75100;40997;97;2300;3367;325879;12898;6998;6;20725;7495;246;135;0;186;550;28865
MG;FORTALEZA DE MINAS;2052;1192;0;75;5;173;31;0;3;21;451;25;19;0;42;6;0;0;0;0;0;9
